name	medal	time	countryCode	idx	year
Usain Bolt	 GOLD	9.63	  JAM	1	2012
Yohan Blake	 SILVER	9.75	  JAM	2	2012
Justin Gatlin	 BRONZE	9.79	  USA	3	2012
Usain Bolt	 GOLD	9.69	  JAM	4	2008
Richard Thompson	 SILVER	9.89	  TRI	5	2008
Walter Dix	 BRONZE	9.91	  USA	6	2008
Justin Gatlin	 GOLD	9.85	  USA	7	2004
Francis Obikwelu	 SILVER	9.86	  POR	8	2004
Maurice Greene	 BRONZE	9.87	  USA	9	2004
Maurice Greene	 GOLD	9.87	  USA	10	2000
Ato Boldon	 SILVER	9.99	  TRI	11	2000
Obadele Thompson	 BRONZE	10.04	 BAR	12	2000
Donovan Bailey	 GOLD	9.84	  CAN	13	1996
Frankie Fredericks	 SILVER	9.89	  NAM	14	1996
Ato Boldon	 BRONZE	9.9	  TRI	15	1996
Linford Christie	 GOLD	9.96	  GBR	16	1992
Frankie Fredericks	 SILVER	10.02	 NAM	17	1992
Dennis Mitchell	 BRONZE	10.04	 USA	18	1992
Carl Lewis	 GOLD	9.92	  USA	19	1988
Linford Christie	 SILVER	9.97	  GBR	20	1988
Calvin Smith	 BRONZE	9.99	  USA	21	1988
Carl Lewis	 GOLD	9.99	  USA	22	1984
Sam Graddy	 SILVER	10.19	 USA	23	1984
Ben Johnson	 BRONZE	10.22	 CAN	24	1984
Allan Wells	 GOLD	10.25	 GBR	25	1980
Silvio Leonard Tartabull	 SILVER	10.25	 CUB	26	1980
Petar Petrov	 BRONZE	10.39	 BUL	27	1980
Hasely Crawford	 GOLD	10.06	 TRI	28	1976
Donald Quarrie	 SILVER	10.08	 JAM	29	1976
Valery Borzov	 BRONZE	10.14	 URS	30	1976
Valery Borzov	 GOLD	10.14	 URS	31	1972
Robert Taylor	 SILVER	10.24	 USA	32	1972
Lennox Miller	 BRONZE	10.33	 JAM	33	1972
Jim Hines	 GOLD	9.95	  USA	34	1968
Lennox Miller	 SILVER	10.04	 JAM	35	1968
Charles Greene	 BRONZE	10.07	 USA	36	1968
Bob Hayes	 GOLD	10	 USA	37	1964
Enrique Figuerola Camue	 SILVER	10.2	 CUB	38	1964
Harry Jerome	 BRONZE	10.2	 CAN	39	1964
Armin Hary	 GOLD	10.2	 EUA	40	1960
David Sime	 SILVER	10.2	 USA	41	1960
Peter Radford	 BRONZE	10.3	 GBR	42	1960
Bobby Joe Morrow	 GOLD	10.5	 USA	43	1956
W. Thane Baker	 SILVER	10.5	 USA	44	1956
Hector Hogan	 BRONZE	10.6	 AUS	45	1956
Lindy Remigino	 GOLD	10.4	 USA	46	1952
Herbert McKenley	 SILVER	10.4	 JAM	47	1952
E. McDonald Bailey	 BRONZE	10.4	 GBR	48	1952
W. Harrison Dillard	 GOLD	10.3	 USA	49	1948
H. Norwood \Barney\ Ewell	 SILVER	10.4	 USA	50	1948
Lloyd LaBeach	 BRONZE	10.4	 PAN	51	1948
Jesse Owens	 GOLD	10.3	 USA	52	1936
Ralph Metcalfe	 SILVER	10.4	 USA	53	1936
Martinus Osendarp	 BRONZE	10.5	 NED	54	1936
T. \Eddie\ Tolan	 GOLD	10.3	 USA	55	1932
Ralph Metcalfe	 SILVER	10.3	 USA	56	1932
Arthur Jonath	 BRONZE	10.4	 GER	57	1932
Percy Williams	 GOLD	10.8	 CAN	58	1928
John \Jack\ London	 SILVER	10.9	 GBR	59	1928
Georg Lammers	 BRONZE	10.9	 GER	60	1928
Harold Abrahams	 GOLD	10.6	 GBR	61	1924
Jackson Scholz	 SILVER	10.8	 USA	62	1924
Arthur Porritt	 BRONZE	10.9	 NZL	63	1924
Charles Paddock	 GOLD	10.8	 USA	64	1920
Morris Kirksey	 SILVER	10.9	 USA	65	1920
Harry Edward	 BRONZE	10.9	 GBR	66	1920
Ralph Craig	 GOLD	10.8	 USA	67	1912
Alvah Meyer	 SILVER	10.9	 USA	68	1912
Donald Lippincott	 BRONZE	10.9	 USA	69	1912
Reginald Walker	 GOLD	10.8	 RSA	70	1908
James Rector	 SILVER	11	 USA	71	1908
Robert Kerr	 BRONZE	11	 CAN	72	1908
Charles \Archie\ Hahn	 GOLD	11.2	 USA	73	1906
Fay Moulton	 SILVER	11.3	 USA	74	1906
Nigel Barker	 BRONZE	11.3	 AUS	75	1906
Charles \Archie\ Hahn	 GOLD	11	 USA	76	1904
Nathaniel Cartmell	 SILVER	11.2	 USA	77	1904
Bill Hogenson	 BRONZE	11.2	 USA	78	1904
Frank Jarvis	 GOLD	11	 USA	79	1900
J. Walter Tewksbury	 SILVER	11.1	 USA	80	1900
Stanley Rowley	 BRONZE	11.2	 AUS	81	1900
Thomas Burke 	 GOLD	12	 USA	82	1896
Fritz Hofmann	 SILVER	12.2	 GER	83	1896
Alojz Sokol	 BRONZE	12.6	 HUN	84	1896
Francis Lane	 BRONZE	12.6	 USA	85	1896
