dataset	cop5	cop10	cop20	cop30	cop40	cop50	cop60	cop70	cop80	cop90	cop95
LIS - United States 1979	7,143	9,726	13,762	17,312	20,541	23,583	27,024	30,981	35,931	43,946	51,871
LIS - United States 1986	6,753	9,187	13,168	17,101	20,759	24,267	28,403	33,162	39,504	49,365	59,514
LIS - United States 1991	6,674	8,996	13,008	16,706	20,417	24,189	28,356	33,107	39,207	49,226	58,986
LIS - United States 1994	6,503	8,954	13,000	16,569	20,159	24,054	28,434	33,559	40,109	51,504	64,090
LIS - United States 1997	7,142	9,799	13,838	17,488	21,331	25,413	29,852	35,024	41,983	54,422	68,912
LIS - United States 2000	7,809	10,641	14,914	18,994	23,079	27,320	31,990	37,161	44,422	57,430	73,551
LIS - United States 2004	7,226	10,396	14,932	18,960	23,269	27,559	32,405	38,156	45,590	58,657	73,921
LIS - United States 2007	7,285	10,423	14,932	19,142	23,432	27,970	33,039	38,891	46,689	60,544	77,663
LIS - United States 2010	6,410	9,645	14,378	18,396	22,559	27,058	32,212	38,072	45,801	59,356	74,768
LIS - Canada 1981	7,361	9,799	13,442	16,536	19,053	21,729	24,560	28,077	32,540	39,682	45,965
LIS - Canada 1987	7,961	10,531	14,050	16,861	19,617	22,308	25,101	28,651	33,034	41,009	48,274
LIS - Canada 1991	8,175	10,680	14,254	16,825	19,515	22,160	25,195	28,618	33,163	40,336	47,659
LIS - Canada 1994	8,117	10,575	14,001	16,740	19,472	22,171	25,148	28,801	33,449	40,936	47,897
LIS - Canada 1997	7,643	10,285	13,689	16,435	19,316	22,107	25,179	28,805	33,476	41,192	48,710
LIS - Canada 1998	7,600	10,070	13,605	16,563	19,515	22,545	25,749	29,598	34,430	42,738	51,499
LIS - Canada 2000	7,696	10,307	13,782	16,570	19,430	22,335	25,600	29,575	34,786	43,176	52,213
LIS - Canada 2004	7,904	10,657	14,341	17,644	20,678	23,845	27,505	31,516	37,156	46,665	56,607
LIS - Canada 2007	9,171	12,062	15,849	19,227	22,419	25,903	29,708	34,170	40,175	50,244	61,155
LIS - Canada 2010	9,445	12,239	15,966	19,649	23,171	26,762	30,518	35,180	41,509	51,273	62,732
